Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
I Want A New Drug,Greatest Hits: Huey Lewis And The News,2006-01-01,['Huey Lewis & The News'],"new wave pop, hard rock, rock, album rock, soft rock, mellow gold, singer-songwriter, new romantic, classic rock",1984,55,211840,59,0.0786,0.672,0.897,6.4e-06,0.389,-4.92,0.0541,110.289,0.777,2,1,4
The Game Of Love,The Collection,1964-01-01,['Wayne Fontana & The Mindbenders'],british invasion,1965,34,127093,48,0.0865,0.575,0.825,0.0,0.193,-4.251,0.0311,109.168,0.963,9,1,4
Attention,Voicenotes,2018-05-11,['Charlie Puth'],"viral pop, pop",2017,22,208786,85,0.109,0.775,0.613,2.33e-05,0.134,-4.586,0.0542,100.066,0.797,3,0,4
Peppermint Twist Pt. 1,Peppermint Twist,2020-08-28,['Joey Dee & The Starliters'],doo-wop,1962,25,122253,38,0.295,0.427,0.642,0.0,0.847,-12.143,0.116,197.836,0.774,0,1,4
Just Once In My Life,Just Once In My Life,1965-04-04,['The Righteous Brothers'],"folk rock, rock-and-roll, adult standards, rockabilly, brill building pop",1965,44,227013,34,0.666,0.321,0.403,0.341,0.189,-13.115,0.0344,94.675,0.26,2,1,4
Shout Shout (Knock Yourself Out),Shout! Shout! (Knock Yourself Out),,['Ernie Maresca'],,1962,49,130093,37,0.273,0.654,0.721,0.0,0.344,-8.476,0.139,94.851,0.967,8,1,4
Someone You Loved,Divinely Uninspired To A Hellish Extent,2019-05-17,['Lewis Capaldi'],"pop, uk pop",2020,10,182160,90,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,0.446,1,1,4
Before He Cheats,Some Hearts,2005-11-14,['Carrie Underwood'],"country dawn, dance pop, contemporary country, classic oklahoma country, country",2007,6,199946,81,0.271,0.519,0.749,0.0,0.119,-3.318,0.0405,147.905,0.29,6,0,4
Walk Me Home (In the Style of Pink) [Karaoke Version],2019 Greatest Karaoke Pop / Rock Songs,2019-10-21,['The Karaoke Studio'],karaoke,2019,99,176000,0,0.00699,0.677,0.417,0.725,0.118,-9.149,0.0496,88.009,0.322,1,1,3
Look What You Done for Me,I'm Still in Love with You,1972-10-23,['Al Green'],"soul, funk, soul blues, classic soul, southern soul, memphis soul",1972,54,185822,44,0.371,0.604,0.568,3.18e-06,0.182,-8.555,0.0447,95.672,0.818,10,1,4
Homeward Bound,"Parsley, Sage, Rosemary And Thyme",1966-10-10,['Simon & Garfunkel'],"folk rock, rock, melancholia, soft rock, folk, classic rock, mellow gold",1966,50,149613,70,0.831,0.485,0.378,0.0,0.103,-11.773,0.0337,92.928,0.528,3,1,4
Wild Thing,From Nowhere,1966-07-25,['The Troggs'],"british invasion, british blues",1966,40,155333,66,0.741,0.453,0.658,0.0288,0.135,-13.472,0.0539,203.871,0.761,9,1,4
Butter,Proof,2022-06-10,['BTS'],"pop, k-pop, k-pop boy group",2021,11,164952,79,0.00323,0.759,0.459,0.0,0.0788,-5.187,0.0948,109.997,0.695,8,1,4
Midnight Train to Georgia,Imagination (Expanded Edition),,['Gladys Knight & The Pips'],"soul, funk, motown, classic soul, quiet storm, disco",1973,49,279333,73,0.271,0.595,0.379,2.81e-05,0.1,-12.058,0.0454,92.006,0.448,10,0,4
Call on Me - 2002 Remaster,Chicago VII (Expanded & Remastered),1974-03-11,['Chicago'],"rock, yacht rock, album rock, soft rock, mellow gold, classic rock",1974,98,242653,43,0.156,0.596,0.796,0.000542,0.0881,-8.339,0.0644,130.316,0.886,11,0,4
Mission: Impossible Theme,Mission: Impossible III (Music From The Original Motion Picture Soundtrack),2006-05-08,['Michael Giacchino'],"soundtrack, orchestral soundtrack",1996,66,51800,58,0.318,0.299,0.571,0.137,0.0452,-8.949,0.0395,89.642,0.764,5,0,4
The Loco-Motion,Kylie,1988-07-04,['Kylie Minogue'],"australian dance, dance pop, new wave pop, australian pop, eurodance",1988,49,193920,63,0.385,0.748,0.915,0.0585,0.0235,-5.23,0.0376,129.0,0.763,3,1,4
With Your Love - Remastered,Spitfire (Remastered),1976-01-01,['Jefferson Starship'],"hard rock, rock, folk rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1976,84,216240,47,0.622,0.536,0.527,0.000334,0.0937,-11.092,0.0327,121.297,0.48,2,1,4
Hey Baby,Rock Steady (Expanded Edition),2001-12-11,"['No Doubt', 'Bounty Killer']","dance pop, jamaican hip hop, permanent wave, dancehall, dance rock, rock, pop rock, reggae fusion",2002,32,207040,60,0.0618,0.705,0.872,0.0,0.227,-3.557,0.126,93.628,0.75,11,0,4
What Hurts The Most,Me And My Gang,2006-01-01,['Rascal Flatts'],"contemporary country, country road, country",2006,26,214106,71,0.0088,0.537,0.674,0.0,0.265,-5.134,0.0277,136.002,0.33,5,0,4
White on White,Collection,,['Danny Williams'],deep adult standards,1964,42,139893,30,0.849,0.578,0.453,0.0,0.273,-8.838,0.026,112.992,0.568,0,1,4
Straight From The Heart,Cuts Like A Knife,1983-01-18,['Bryan Adams'],"heartland rock, canadian pop, canadian singer-songwriter, soft rock, mellow gold, classic canadian rock",1983,71,211933,69,0.0766,0.587,0.237,0.0,0.139,-18.466,0.0272,84.764,0.366,0,1,4
So Alive,Love and Rockets,1989-09-04,['Love and Rockets'],"gothic rock, post-punk, new romantic, new wave",1989,51,257825,56,0.00548,0.698,0.567,0.234,0.147,-13.968,0.0296,118.826,0.919,10,1,4
I Almost Lost My Mind,Pat Boone's Greatest Hits (Reissue),1993-01-01,['Pat Boone'],"rockabilly, rock-and-roll, adult standards, easy listening",1956,13,158506,40,0.856,0.367,0.0845,8.86e-05,0.103,-17.017,0.0384,179.044,0.172,0,1,3
Twilight Time - Single Version,The Flying Platters Around The World,1958-01-01,['The Platters'],"rockabilly, rock-and-roll, adult standards, easy listening",1958,16,168293,61,0.747,0.455,0.361,0.0,0.238,-12.562,0.0473,115.854,0.285,9,1,3
Mi Pueblo (My Home Town) (with Juan Gabriel),"Mis Canciones, Mis Amigos",2009-10-06,"['Paul Anka', 'Juan Gabriel']","mariachi, canadian pop, musica mexicana, adult standards, latin pop, cancion melodica, easy listening, ranchera",1960,77,179106,36,0.255,0.693,0.858,0.0,0.14,-4.81,0.0325,132.037,0.798,9,1,4
Sentimental Me,The Amazing Ames Brothers,1950-11-26,['The Ames Brothers'],"vocal harmony group, easy listening",1950,16,205893,13,0.814,0.165,0.22,0.0551,0.0984,-13.417,0.036,75.055,0.223,8,1,4
Dance to the Music,Dance To The Music,1968-04-27,['Sly & The Family Stone'],"funk rock, classic soul, psychedelic soul, funk, p funk, southern soul, soul",1968,20,179426,61,0.0168,0.703,0.529,0.00057,0.911,-11.112,0.1,128.059,0.772,7,1,4
Funkytown - Single Version,'80s Pop #1's,2007-01-01,['Lipps Inc.'],"minneapolis sound, disco",1987,99,245413,74,0.000928,0.907,0.564,0.65,0.108,-9.29,0.0568,122.632,0.229,0,1,4
Are You Gonna Be My Girl,Get Born,2003-09-15,['Jet'],"pop rock, modern rock, garage rock",2004,76,213800,78,0.00148,0.613,0.953,0.000582,0.152,-3.435,0.0855,105.046,0.537,2,1,4
Butterfly - 1957 #1 Billboard chart hit,Andy Williams' Best,,['Andy Williams'],"adult standards, easy listening",1957,36,143160,28,0.39,0.766,0.537,1.26e-06,0.22,-6.747,0.0425,126.999,0.853,5,1,4
Freddie's Dead,Superfly: Deluxe 25th Anniversary Edition,1972-07-01,['Curtis Mayfield'],"soul, funk, chicago soul, classic soul",1972,82,329466,50,0.107,0.523,0.803,0.000409,0.154,-6.321,0.0791,91.469,0.921,1,0,4
Hey Jealousy,New Miserable Experience,1992-01-01,['Gin Blossoms'],"post-grunge, pop rock, tempe indie, permanent wave",1993,95,236626,66,0.000179,0.471,0.797,6.49e-06,0.299,-8.407,0.0389,152.903,0.497,6,0,4
(Girls Girls Girls) Made to Love,Hit Singles - EP,2010-04-20,['Eddie Hodges'],,1962,96,150666,14,0.414,0.61,0.377,0.0,0.0734,-9.805,0.0935,178.06,0.519,9,1,4
Sometimes Love Just Ain't Enough (As Made Famous by Patty Smyth and Don Henley),Drew's Famous # 1 Karaoke Hits: Sing the Hits of 1992,2011-07-05,['The Karaoke Crew'],karaoke,1992,22,279480,0,0.0533,0.584,0.219,0.858,0.0977,-14.895,0.0278,83.017,0.175,10,1,4
Cherry Cherry,The Bang Years 1966-1968 (The 23 Original Mono Recordings),,['Neil Diamond'],"folk rock, heartland rock, singer-songwriter, soft rock, adult standards, mellow gold, yacht rock, brill building pop",1966,68,163906,59,0.0271,0.56,0.827,0.00285,0.0551,-4.157,0.0306,84.383,0.904,8,1,4
Being With You,Being With You,1981-01-01,['Smokey Robinson'],"soul, funk, motown, classic soul, quiet storm, disco",1981,13,246960,56,0.764,0.649,0.434,2.44e-06,0.0822,-9.529,0.0267,108.754,0.572,0,0,4
The Bones,GIRL,2019-03-08,['Maren Morris'],"classic texas country, contemporary country",2020,9,197293,74,0.278,0.612,0.57,0.0,0.0963,-6.642,0.0347,77.004,0.334,11,0,4
Have You Ever Really Loved A Woman?,18 Til I Die,1996-06-04,['Bryan Adams'],"soft rock, canadian singer-songwriter, heartland rock, canadian pop, classic canadian rock, mellow gold",1995,16,291666,72,0.536,0.57,0.478,1.33e-05,0.0931,-10.185,0.0322,145.517,0.358,7,1,3
Sweat (A La La La La Long),Blazzin' Fire,2010-12-14,['Inner Circle'],"reggae, reggae fusion",1993,77,227067,74,0.0124,0.787,0.728,0.0,0.157,-7.705,0.218,173.026,0.94,0,1,4
No Limit,The Beautiful & Damned,2017-12-15,"['G-Eazy', 'A$AP Rocky', 'Cardi B']","pop, east coast hip hop, oakland hip hop, trap, rap, hip hop, indie pop rap, pop rap",2018,30,245386,72,0.0117,0.838,0.771,0.0,0.0853,-3.791,0.244,175.957,0.405,1,1,4
If I Were Your Woman - Single Version,If I Were Your Woman,1971-01-01,['Gladys Knight & The Pips'],"soul, funk, motown, classic soul, quiet storm, disco",1971,90,194533,45,0.711,0.472,0.492,0.107,0.679,-10.435,0.0583,74.09,0.555,6,1,4
Woody Woodpecker Song,Best Of The Big Bands,1990-06-19,['Kay Kyser & His Orchestra'],"""mans orchestra""",1948,15,182506,16,0.886,0.815,0.289,4.35e-05,0.307,-11.656,0.0568,135.347,0.892,0,1,4
Blah Blah Blah (feat. 3OH!3),Animal (Expanded Edition),2010-01-01,"['Kesha', '3OH!3']","dance pop, post-teen pop, pop punk, electropowerpop, pop rap, pop",2010,51,172053,69,0.0843,0.752,0.836,0.000425,0.424,-3.173,0.115,120.003,0.519,10,1,4
It's Time,Night Visions,2012-09-04,['Imagine Dragons'],"pop, rock, modern rock",2013,47,237986,69,0.0162,0.656,0.884,0.0,0.145,-4.748,0.0372,105.009,0.86,2,1,4
Pop Out (feat. Lil Tjay),Die A Legend,2019-06-07,"['Polo G', 'Lil Tjay']","nyc rap, chicago rap, melodic rap, rap, brooklyn drill",2019,45,166560,80,0.15,0.772,0.639,0.0,0.0698,-7.119,0.467,168.112,0.261,1,1,4
Hotel California - 2013 Remaster,Hotel California (2013 Remaster),1976-12-08,['Eagles'],"heartland rock, rock, yacht rock, album rock, soft rock, mellow gold, classic rock",1977,19,391376,85,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,0.609,2,1,4
Say It Isn't So,"Rock 'N Soul, Part 1 (Expanded Edition)",,['Daryl Hall & John Oates'],"heartland rock, rock, yacht rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1984,22,257093,51,0.118,0.774,0.788,0.0,0.153,-7.069,0.0281,114.152,0.972,4,0,4
Thot Shit,Thot Shit,2021-06-11,['Megan Thee Stallion'],"pop, trap queen, rap, houston rap",2021,71,184634,70,0.0133,0.95,0.693,0.0,0.173,-3.424,0.0898,130.02,0.891,9,1,4
Will You Still Love Me? - Alternate,Chicago 18 (Expanded Edition),1986-09-29,['Chicago'],"rock, yacht rock, album rock, soft rock, mellow gold, classic rock",1987,50,253280,56,0.0233,0.482,0.601,0.0,0.0517,-6.808,0.0278,77.101,0.348,1,1,4
She Bop,She's So Unusual,1983-10-14,['Cyndi Lauper'],"dance pop, new wave pop, soft rock, permanent wave",1984,34,229266,56,0.00088,0.583,0.891,0.000163,0.103,-4.565,0.0345,136.794,0.814,9,0,4
Red Solo Cup,Clancy's Tavern,2011-10-21,['Toby Keith'],"country road, classic oklahoma country, contemporary country, country",2012,82,223386,67,0.287,0.535,0.56,0.0,0.209,-6.586,0.0901,164.17,0.785,4,1,4
Let's Get It Started (Radio Version),The Karaoke Channel - Sing Let's Get It Started (Radio Version) Like Black Eyed Peas,2014-09-25,['The Karaoke Channel'],karaoke,2004,88,221028,3,0.113,0.85,0.643,0.0,0.0944,-7.115,0.0659,104.989,0.869,11,0,4
Mule Train,Hell Bent For Leather!,1961-03-20,['Frankie Laine'],"rock-and-roll, adult standards, easy listening, cowboy western",1949,9,151266,26,0.846,0.654,0.481,0.0,0.149,-13.324,0.189,148.561,0.688,5,1,4
Live And Let Die - Main Title,All The Best,1987-11-02,"['Paul McCartney', 'Wings']","heartland rock, rock, folk rock, beatlesque, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1973,56,190933,49,0.234,0.419,0.36,0.000432,0.207,-15.375,0.058,153.974,0.232,7,1,5
Sweet Nothing (feat. Florence Welch),18 Months,2012-10-29,"['Calvin Harris', 'Florence Welch']","electro house, dance pop, house, uk dance, edm, progressive house, pop, uk pop",2013,44,212560,75,0.197,0.573,0.929,0.000112,0.0567,-3.942,0.109,127.934,0.582,8,0,4
Moscow Mule,Un Verano Sin Ti,2022-05-06,['Bad Bunny'],"urbano latino, trap latino, reggaeton",2022,44,245939,88,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,0.292,5,0,4
Hello,25,2015-11-20,['Adele'],"pop, british soul, pop soul, uk pop",2016,7,295502,75,0.33,0.578,0.43,0.0,0.0854,-6.134,0.0305,78.991,0.288,5,0,4
Maria Maria (feat. The Product G&B),Supernatural (Remastered),1999-06-15,"['Santana', 'The Product G&B']","classic rock, blues rock, mexican classic rock",2000,3,261973,85,0.0406,0.777,0.601,0.00201,0.0348,-5.931,0.126,97.911,0.68,2,1,4
Keep It Comin',Keep It Comin',,['Keith Sweat'],"contemporary r&b, new jack swing, urban contemporary, r&b",1992,94,246373,33,0.0371,0.667,0.899,4.12e-06,0.541,-7.084,0.0809,101.477,0.738,11,0,4
Semi-Charmed Life,Third Eye Blind,1997-04-08,['Third Eye Blind'],"pop rock, alternative metal, post-grunge",1997,17,268360,76,0.00832,0.64,0.864,0.0,0.123,-6.576,0.0314,102.026,0.701,7,1,4
Lay a Little Lovin' on Me - Robin's Stereo Mix,Ultimate Oldies & Goodies - One Hit Wonders of the 50s & 60s,1990-01-31,['Robin McNamara'],,1970,87,196840,23,0.3,0.573,0.773,0.0,0.062,-5.269,0.0299,100.056,0.698,0,1,4
Giving You the Best That I Got (Single Version),Sweet Love,2022-02-14,['Anita Baker'],"soul, funk, r&b, urban contemporary, smooth jazz, quiet storm, neo soul",1989,10,233973,54,0.765,0.637,0.542,0.0,0.302,-8.173,0.0357,105.324,0.38,9,1,4
Walkin' In The Rain With The One I Love,Best Of Love Unlimited,1997-01-01,['Love Unlimited'],"motown, post-disco, classic soul, disco",1972,98,287933,39,0.341,0.424,0.594,0.000282,0.413,-9.652,0.0551,137.535,0.59,10,1,4
The Letter - Single Version,The Anthology,1999-08-17,['Joe Cocker'],"heartland rock, blues rock, rock, folk rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1970,80,250626,41,0.0543,0.311,0.827,0.305,0.631,-8.056,0.099,176.229,0.843,8,1,4
7 Things - Single Version,Breakout,2008-01-01,['Miley Cyrus'],pop,2008,92,213453,66,0.0232,0.59,0.903,0.0,0.0786,-4.478,0.0363,107.023,0.542,1,0,4
Sheila,Sheila,1962-01-01,['Tommy Roe'],"classic garage rock, bubblegum pop, merseybeat, rock-and-roll",1962,22,127066,45,0.275,0.422,0.575,0.0,0.062,-8.993,0.107,135.63,0.475,4,1,4
Just a Dream,This Is Jimmy Clanton,1998-01-01,['Jimmy Clanton'],"doo-wop, rock-and-roll, rhythm and blues, swamp pop",1958,26,152946,45,0.69,0.437,0.539,0.0,0.0655,-4.072,0.0395,125.325,0.671,7,1,3
I'm Blue (The Gong Gong Song),"Beg, Scream & Shout!: Vol. 3",2004-03-23,['The Ikettes'],,1962,94,153373,32,0.657,0.666,0.385,0.055,0.0734,-8.166,0.0323,111.045,0.904,8,0,4
You Belong To The City,Above The Clouds - The Collection (Deluxe),2018-04-27,['Glenn Frey'],"heartland rock, new wave pop, country rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1985,30,352760,57,0.06,0.669,0.703,0.00147,0.0623,-5.789,0.0299,109.48,0.436,4,0,4
Iris,Dizzy up the Girl,1998-09-11,['The Goo Goo Dolls'],"neo mellow, pop rock, permanent wave, post-grunge",1999,94,289533,85,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,0.497,11,0,3
Numb / Encore,Hip Hop & Basketball,2022-08-05,"['JAY-Z', 'Linkin Park']","gangster rap, nu metal, east coast hip hop, alternative metal, post-grunge, rap, rock, rap metal, hip hop, pop rap",2005,93,205280,19,0.0606,0.684,0.803,0.0,0.546,-4.251,0.156,107.028,0.8,2,1,4
